Transportation and Logistics,Vehicle Maintenance Cost,$/month
trend,single_peak,exponential_falling,stable_rising
Year,Railway Cars,Electric Trucks,Aircraft Engines
1950,1473.06,1176.7,1902.08
1951,1566.48,1036.14,1983.87
1952,1671.58,921.05,2083.07
1953,1741.66,842.5,2160.87
1954,1864.07,768.08,2276.19
1955,1994.13,691.51,2370.19
1956,2108.17,604.7,2460.73
1957,2228.17,536.87,2576.66
1958,2305.17,493.89,2656.05
1959,2342.24,427.31,2730.33
1960,2357.0,399.73,2820.29
1961,2378.58,382.94,2932.98
1962,2279.81,318.19,3033.59
1963,2216.53,307.46,3133.98
1964,2100.67,259.31,3246.35
1965,1980.33,214.62,3315.26
1966,1837.1,201.99,3420.91
1967,1763.65,180.21,3523.31
1968,1636.32,206.6,3601.17
1969,1548.03,160.03,3699.07
1970,1511.79,116.72,3816.2
1971,1440.8,94.96,3900.81
