Cultural Trends and Influences,Book Sales,copies
trend,periodic_stable,bimodal_peak
Year,Crimson Quill Publishing,Zenith Imprints
1998,474083.89,858278.03
1999,592803.15,917496.56
2000,540984.6,972034.95
2001,406880.76,1020772.45
2002,370796.92,1069036.32
2003,481725.49,1089597.02
2004,588561.41,1112910.74
2005,545860.78,1127717.15
2006,417235.88,1140407.06
2007,378502.89,1133150.45
2008,480163.33,1117324.73
2009,597073.71,1097733.96
2010,540035.41,1063485.36
2011,405878.58,1023437.28
2012,363094.36,973173.31
2013,481081.92,916668.5
2014,596383.81,859766.61
