Education and Academics,Student Enrollment,students
trend,bimodal_valley,exponential_rising,volatile_rising,single_peak,single_valley
Year,Silverhaven Polytechnic,Aethelgard School of Arts,Celestial College,Borealis Graduate School,Meridian Academy
1990,2962.9,14843.06,10676.21,14170.32,8270.07
1991,2072.26,16251.69,11512.24,15076.72,7594.51
1992,1427.06,18063.46,12308.52,16016.72,6489.58
1993,860.83,19867.3,13252.7,17089.91,5682.06
1994,293.61,21752.81,14036.06,18168.3,4710.06
1995,69.42,23800.01,14828.18,19069.63,3812.28
1996,69.42,26199.72,15783.5,19967.9,3322.38
1997,69.42,28905.86,16599.59,20335.2,2633.07
1998,69.42,31742.11,17544.49,20497.32,2684.09
1999,69.42,35091.1,18373.01,20402.98,2861.14
2000,69.42,38512.35,19219.62,19856.27,3167.51
2001,69.42,42183.73,20050.14,19076.32,3881.61
2002,344.62,46451.66,20838.53,18175.18,4812.36
2003,729.49,51213.05,21701.2,17132.95,5621.91
2004,1453.61,56191.51,22576.48,16033.56,6676.16
2005,2201.39,61756.27,23421.21,15065.6,7489.69
2006,2863.09,68134.58,24308.69,14167.03,8286.99
