Social Media and Digital Media and Streaming,Ad Revenue,$
trend,exponential_rising,bimodal_valley,volatile_rising
Year,EchoWave,Starburst Online,Luminara
1972,384720155.76,297974947.88,729863421.49
1973,424713527.98,233838360.21,760314129.43
1974,454161603.85,199238726.85,797818142.97
1975,495986588.11,139766541.58,858392780.14
1976,560646166.17,123981213.34,921953543.16
1977,593873728.73,81025616.76,994773615.4
1978,668636740.64,67172013.06,1028976979.29
1979,743795085.29,42181454.92,1062877091.43
1980,806201482.33,39982054.7,1153318400.96
1981,895323399.8,45855424.19,1210822276.12
1982,990674921.16,54674318.33,1279301264.72
1983,1087983372.24,45925797.27,1266434922.54
1984,1179235045.72,33853197.56,1389106592.57
1985,1343018835.53,43829231.47,1420558995.75
1986,1440898676.94,83870390.37,1445206303.06
1987,1579968518.12,93870723.38,1514623810.36
1988,1748891132.58,117334381.12,1597849754.17
1989,1935831448.09,146517602.16,1647926727.21
1990,2122715072.67,195109716.62,1738064550.61
1991,2346538018.22,254279099.78,1737764416.64
1992,2588067402.49,284079328.67,1785131912.0
