Healthcare and Health,Vaccination Rate,%
trend,exponential_falling,volatile_falling
Year,Crimson Quarter,Outer Rim Settlements
1995,76.38,100
1996,68.83,100
1997,61.86,94.04
1998,55.62,87.48
1999,49.94,81.6
2000,45.07,74.67
2001,40.59,68.03
2002,36.63,61.46
2003,32.79,55.47
2004,29.97,49.09
2005,26.6,43.26
2006,24.13,35.97
2007,21.49,30.25
2008,19.41,22.74
2009,17.33,17.01
2010,15.76,11.15
2011,13.84,4.19
2012,12.89,1.07
2013,11.13,1.07
2014,10.08,1.07
2015,8.99,1.07
2016,8.51,1.07
2017,7.48,1.07
2018,6.56,1.07
2019,6.24,1.07
