Transportation and Logistics,Fuel Consumption,L/100km
trend,bimodal_peak,periodic_stable,bimodal_peak,volatile_falling,single_peak,periodic_stable
Year,Drone Swarms,Freight Trains,Hybrid Fleets,Cargo Planes,Delivery Vans,Long-Haul Trucks
1990,19.14,8.52,15.85,6.94,10.09,10.27
1991,20.08,10.67,16.96,6.61,10.82,12.22
1992,21.0,9.68,17.3,6.4,11.75,11.25
1993,22.12,7.04,18.34,5.91,12.4,8.8
1994,22.52,6.88,18.83,5.3,13.55,7.89
1995,22.91,8.28,18.96,5.11,14.04,9.87
1996,23.18,10.65,19.22,4.62,15.06,11.94
1997,23.3,9.9,19.4,4.04,15.59,11.39
1998,23.51,7.35,19.42,4.03,15.94,8.5
1999,23.31,6.68,19.12,3.45,15.73,7.95
2000,23.28,8.62,19.59,2.82,15.44,10.04
2001,23.51,10.65,19.26,2.47,15.71,11.87
2002,23.36,9.62,19.2,2.08,14.7,11.26
2003,22.83,7.45,19.19,1.63,14.22,8.82
2004,22.52,6.52,18.72,1.21,13.23,7.82
2005,22.0,8.38,18.35,0.58,12.18,9.94
2006,21.11,10.81,17.54,0.28,11.66,12.14
2007,20.19,9.77,16.85,0.07,10.8,11.28
2008,19.1,7.48,15.97,0.07,10.31,8.75
