Human Resources and Employee Management,Employee Satisfaction,%
trend,single_peak,bimodal_peak,exponential_rising
Year,Management Team,Operations Staff,Sales Team
1960,67.94,71.35,62.51
1961,68.75,75.22,68.71
1962,69.59,79.13,75.07
1963,71.53,83.89,82.26
1964,73.47,88.0,89.81
1965,77.75,90.6,98.53
1966,80.89,92.2,100
1967,86.49,93.41,100
1968,91.61,92.87,100
1969,97.14,92.17,100
1970,100,89.16,100
1971,100,86.5,100
1972,100,83.76,100
1973,100,82.11,100
1974,100,80.87,100
1975,100,80.4,100
1976,100,82.21,100
1977,100,83.89,100
1978,100,86.76,100
1979,97.77,89.78,100
1980,90.8,91.82,100
1981,86.36,93.4,100
1982,81.23,93.37,100
1983,76.99,92.57,100
1984,74.04,90.91,100
1985,71.11,87.41,100
1986,70.38,83.14,100
1987,68.47,79.17,100
1988,68.51,74.74,100
1989,68.07,71.45,100
