Healthcare and Health,Hospital Bed Occupancy,%
trend,stable_rising,exponential_rising,exponential_falling,periodic_stable,stable_rising,bimodal_peak,stable_rising
Year,Meridian Teaching Hospital,Stellar Memorial Hospital,Zenith Care Hospital,Silverhaven Community Hospital,Borealis Medical Center,Aethelgard General Hospital,Azure Coast Hospital
1973,49.74,52.64,89.42,66.88,67.15,100,84.46
1974,52.34,58.29,80.36,82.33,70.36,100,88.4
1975,54.68,63.76,72.57,76.79,73.74,100,92.38
1976,57.08,70.95,65.56,57.2,77.48,100,96.46
1977,60.01,78.05,59.01,51.09,80.27,100,100
1978,63.08,85.68,52.46,67.93,83.99,100,100
1979,64.78,93.42,47.37,82.95,86.68,100,100
1980,67.3,100,42.59,76.46,90.81,100,100
1981,69.9,100,38.69,57.2,94.44,100,100
1982,72.53,100,34.83,51.66,97.99,100,100
1983,75.38,100,31.55,66.7,100,100,100
1984,77.45,100,28.26,83.01,100,100,100
1985,80.0,100,25.11,76.93,100,100,100
1986,82.37,100,23.37,57.4,100,100,100
1987,85.23,100,20.77,50.07,100,100,100
1988,87.12,100,18.44,66.83,100,100,100
1989,90.23,100,15.84,82.89,100,100,100
1990,92.27,100,15.0,77.56,100,100,100
1991,94.98,100,13.66,56.96,100,100,100
1992,97.5,100,12.21,51.44,100,100,100
1993,99.93,100,10.98,66.87,100,100,100
1994,100,100,9.83,82.16,100,100,100
1995,100,100,8.27,76.74,100,100,100
1996,100,100,8.01,57.28,100,100,100
1997,100,100,7.59,49.69,100,100,100
1998,100,100,6.23,66.32,100,100,100
