Sports and Entertainment, Movie Box Office Revenue by Towns, million USD, vertical
Towns,Broken Mirror,Lost Signal,Hidden Truth,True Edge,Silent Echo
Clearview,230.33,224.34,181.44,175.23,164.76
Cedarburg,258.95,118.69,205.73,220.0,178.32
Silverton,176.22,206.01,176.74,195.17,211.35
Fairview,266.01,206.68,252.84,209.29,236.68
Elmwood,232.56,248.31,229.04,157.58,177.46
Brookhaven,232.29,213.0,133.4,261.85,186.5
Stonehill,178.46,174.95,168.86,229.38,231.33
Springvale,203.38,173.33,211.22,243.84,206.67
Pinecrest,178.34,190.65,270.9,247.54,231.69
Hillcrest,258.74,221.37,290.83,233.82,157.76
Eastwood,211.24,181.94,135.26,294.51,196.14
Oakvale,243.5,120.59,203.08,222.23,248.2
Redstone,150.44,213.86,208.74,312.09,167.96
Glenwood,156.3,213.23,181.12,180.77,240.03
Riverton,268.82,194.67,183.85,156.09,274.38
