Social Media and Digital Media and Streaming, Video Platform Viewership Numbers, million views, vertical
Video Platform,Tutorials,Sports,Comedy,Entertainment
Dailymotion,41.41,80.42,15.0,69.71
Bilibili,95.0,19.41,26.78,15.0
Periscope,40.13,20.17,15.0,40.69
Crunchyroll,31.63,95.0,44.15,52.84
YouTube,60.57,16.16,32.9,95.0
Disney+,95.0,23.89,15.0,57.59
TikTok,95.0,41.47,39.49,70.74
Instagram,58.73,17.33,15.0,95.0
Twitch,60.99,51.83,15.0,60.52
Twitter,38.4,19.49,20.83,39.57
Vevo,20.87,45.7,26.73,95.0
