Real Estate and Housing Market,Real Estate Transaction Ecosystem,Properties,random,Property Types,Location Types,Market Conditions
Source,Target,Value
Townhouse,Suburban,208
Townhouse,Urban,219
Condo,Suburban,252
Condo,Urban,165
Single Family Home,Suburban,29
Single Family Home,Urban,87
Multi-family Unit,Suburban,30
Multi-family Unit,Urban,97
Suburban,Buyer's Market,166
Suburban,Seller's Market,228
Suburban,Neutral Market,125
Urban,Buyer's Market,139
Urban,Seller's Market,191
Urban,Neutral Market,238
