Education and Academics,Education System Framework,Students,random,Student Backgrounds,Post-Education Paths,Enrollment Channels,Institution Types,Support Services
Source,Target,Value
Rural,Graduate Studies,2317
Rural,Employment,1490
Rural,Gap Year,4724
Rural,Entrepreneurship,2500
Rural,Certification Programs,1560
First-Generation,Graduate Studies,7905
First-Generation,Employment,6760
First-Generation,Gap Year,2702
First-Generation,Entrepreneurship,4484
First-Generation,Certification Programs,5002
Graduate Studies,Exchange Programs,861
Graduate Studies,Online Applications,1569
Graduate Studies,Entrance Exams,2734
Graduate Studies,Scholarships,2277
Graduate Studies,Direct Admission,2781
Employment,Exchange Programs,1857
Employment,Online Applications,1607
Employment,Entrance Exams,2034
Employment,Scholarships,1280
Employment,Direct Admission,1472
Gap Year,Exchange Programs,1511
Gap Year,Online Applications,1628
Gap Year,Entrance Exams,1790
Gap Year,Scholarships,1725
Gap Year,Direct Admission,772
Entrepreneurship,Exchange Programs,263
Entrepreneurship,Online Applications,263
Entrepreneurship,Entrance Exams,2503
Entrepreneurship,Scholarships,2637
Entrepreneurship,Direct Admission,1318
Certification Programs,Exchange Programs,1946
Certification Programs,Online Applications,1566
Certification Programs,Entrance Exams,381
Certification Programs,Scholarships,2071
Certification Programs,Direct Admission,598
Exchange Programs,Community College,2922
Exchange Programs,University,552
Exchange Programs,Online Institution,938
Exchange Programs,Private School,2026
Online Applications,Community College,1130
Online Applications,University,2247
Online Applications,Online Institution,1210
Online Applications,Private School,2046
Entrance Exams,Community College,1198
Entrance Exams,University,1512
Entrance Exams,Online Institution,3900
Entrance Exams,Private School,2832
Scholarships,Community College,604
Scholarships,University,4543
Scholarships,Online Institution,3898
Scholarships,Private School,945
Direct Admission,Community College,766
Direct Admission,University,2143
Direct Admission,Online Institution,2083
Direct Admission,Private School,1949
Community College,Counseling,831
Community College,Academic Advising,2149
Community College,Career Services,2770
Community College,Financial Aid,870
University,Counseling,2233
University,Academic Advising,2925
University,Career Services,2886
University,Financial Aid,2953
Online Institution,Counseling,8368
Online Institution,Academic Advising,1021
Online Institution,Career Services,1431
Online Institution,Financial Aid,1209
Private School,Counseling,2945
Private School,Academic Advising,1728
Private School,Career Services,4517
Private School,Financial Aid,608
