Transportation and Logistics,Manufacturing Supply Transportation Chain,Goods,random,Factory,Distribution Center,Retail,Warehouse,Assembly
Source,Target,Value
Chemical Plant,West Hub,45
Chemical Plant,Express Sorting Center,143
Chemical Plant,East Hub,238
Chemical Plant,North Hub,269
Chemical Plant,South Hub,106
Auto Factory,West Hub,593
Auto Factory,Express Sorting Center,347
Auto Factory,East Hub,439
Auto Factory,North Hub,61
Auto Factory,South Hub,206
West Hub,Outlet Mall,154
West Hub,City Supermarket,88
West Hub,Online Fulfillment,110
West Hub,Convenience Store,286
Express Sorting Center,Outlet Mall,152
Express Sorting Center,City Supermarket,184
Express Sorting Center,Online Fulfillment,135
Express Sorting Center,Convenience Store,19
East Hub,Outlet Mall,34
East Hub,City Supermarket,218
East Hub,Online Fulfillment,195
East Hub,Convenience Store,230
North Hub,Outlet Mall,80
North Hub,City Supermarket,41
North Hub,Online Fulfillment,127
North Hub,Convenience Store,82
South Hub,Outlet Mall,155
South Hub,City Supermarket,55
South Hub,Online Fulfillment,80
South Hub,Convenience Store,22
Outlet Mall,Spare Parts Depot,121
Outlet Mall,Bulk Storage,78
Outlet Mall,Cold Storage,152
Outlet Mall,Regional Warehouse A,224
City Supermarket,Spare Parts Depot,226
City Supermarket,Bulk Storage,217
City Supermarket,Cold Storage,119
City Supermarket,Regional Warehouse A,24
Online Fulfillment,Spare Parts Depot,83
Online Fulfillment,Bulk Storage,254
Online Fulfillment,Cold Storage,144
Online Fulfillment,Regional Warehouse A,166
Convenience Store,Spare Parts Depot,149
Convenience Store,Bulk Storage,35
Convenience Store,Cold Storage,165
Convenience Store,Regional Warehouse A,290
Spare Parts Depot,Quality Check,76
Spare Parts Depot,Component Assembly,26
Spare Parts Depot,Test Facility,214
Spare Parts Depot,Labeling,263
Bulk Storage,Quality Check,89
Bulk Storage,Component Assembly,169
Bulk Storage,Test Facility,270
Bulk Storage,Labeling,56
Cold Storage,Quality Check,112
Cold Storage,Component Assembly,146
Cold Storage,Test Facility,184
Cold Storage,Labeling,138
Regional Warehouse A,Quality Check,40
Regional Warehouse A,Component Assembly,344
Regional Warehouse A,Test Facility,240
Regional Warehouse A,Labeling,80
