Cultural Trends and Influences,Cultural Products Influence Flow,Cultural Products,random,Impact Areas,Audience Types,Cultural Mediums,Art Forms
Source,Target,Value
Innovation,Local Communities,301
Innovation,Artists,1576
Tourism,Local Communities,109
Tourism,Artists,972
Social Integration,Local Communities,459
Social Integration,Artists,856
Local Communities,Festivals,209
Local Communities,Workshops,235
Local Communities,Digital Platforms,247
Local Communities,Theaters,178
Artists,Festivals,1835
Artists,Workshops,183
Artists,Digital Platforms,183
Artists,Theaters,1203
Festivals,Cinema,938
Festivals,Painting,299
Festivals,Music,807
Workshops,Cinema,116
Workshops,Painting,274
Workshops,Music,28
Digital Platforms,Cinema,58
Digital Platforms,Painting,58
Digital Platforms,Music,314
Theaters,Cinema,282
Theaters,Painting,444
Theaters,Music,655
