Social Media and Digital Media and Streaming,Digital Media Consumption Ecosystem,Views,random,Monetization Models,Content Formats,User Demographics
Source,Target,Value
Pay-Per-View,Podcasts,41450
Pay-Per-View,Reels,285328
Pay-Per-View,Articles,226954
Pay-Per-View,Music Tracks,233308
Pay-Per-View,Livestreams,223402
Pay-Per-View,Short Videos,124033
Virtual Gifts,Podcasts,454643
Virtual Gifts,Reels,101073
Virtual Gifts,Articles,60855
Virtual Gifts,Music Tracks,166704
Virtual Gifts,Livestreams,147077
Virtual Gifts,Short Videos,117560
Sponsorships,Podcasts,27955
Sponsorships,Reels,26829
Sponsorships,Articles,32676
Sponsorships,Music Tracks,19228
Sponsorships,Livestreams,7431
Sponsorships,Short Videos,3972
Ad Revenue,Podcasts,180058
Ad Revenue,Reels,42396
Ad Revenue,Articles,194309
Ad Revenue,Music Tracks,158330
Ad Revenue,Livestreams,200289
Ad Revenue,Short Videos,194670
Merch Sales,Podcasts,49234
Merch Sales,Reels,12738
Merch Sales,Articles,11585
Merch Sales,Music Tracks,68467
Merch Sales,Livestreams,92789
Merch Sales,Short Videos,14592
Podcasts,Seniors,412354
Podcasts,Teens,340986
Reels,Seniors,256686
Reels,Teens,211678
Articles,Seniors,190441
Articles,Teens,335938
Music Tracks,Seniors,280281
Music Tracks,Teens,365756
Livestreams,Seniors,343820
Livestreams,Teens,327168
Short Videos,Seniors,214976
Short Videos,Teens,239851
