Transportation and Logistics,Manufacturing Supply Transportation Chain,Goods,random,Retail,Warehouse,Assembly,Distribution Center,Factory
Source,Target,Value
Online Fulfillment,Central Warehouse,893
Online Fulfillment,Spare Parts Depot,421
Neighborhood Store,Central Warehouse,274
Neighborhood Store,Spare Parts Depot,281
Outlet Mall,Central Warehouse,473
Outlet Mall,Spare Parts Depot,465
Convenience Store,Central Warehouse,115
Convenience Store,Spare Parts Depot,97
City Supermarket,Central Warehouse,169
City Supermarket,Spare Parts Depot,202
Central Warehouse,Labeling,690
Central Warehouse,Component Assembly,670
Central Warehouse,Test Facility,274
Central Warehouse,Packaging Line,290
Spare Parts Depot,Labeling,335
Spare Parts Depot,Component Assembly,276
Spare Parts Depot,Test Facility,523
Spare Parts Depot,Packaging Line,332
Labeling,South Hub,307
Labeling,West Hub,252
Labeling,North Hub,88
Labeling,Express Sorting Center,378
Component Assembly,South Hub,239
Component Assembly,West Hub,350
Component Assembly,North Hub,114
Component Assembly,Express Sorting Center,243
Test Facility,South Hub,53
Test Facility,West Hub,204
Test Facility,North Hub,326
Test Facility,Express Sorting Center,214
Packaging Line,South Hub,272
Packaging Line,West Hub,100
Packaging Line,North Hub,53
Packaging Line,Express Sorting Center,197
South Hub,Electronics Plant,88
South Hub,Food Processing Plant,44
South Hub,Chemical Plant,252
South Hub,Auto Factory,198
South Hub,Textile Mill,289
West Hub,Electronics Plant,135
West Hub,Food Processing Plant,176
West Hub,Chemical Plant,141
West Hub,Auto Factory,164
West Hub,Textile Mill,290
North Hub,Electronics Plant,46
North Hub,Food Processing Plant,134
North Hub,Chemical Plant,161
North Hub,Auto Factory,112
North Hub,Textile Mill,128
Express Sorting Center,Electronics Plant,50
Express Sorting Center,Food Processing Plant,147
Express Sorting Center,Chemical Plant,429
Express Sorting Center,Auto Factory,208
Express Sorting Center,Textile Mill,198
