Tourism and Hospitality,Global Tourism Value Chain,Million Tourists,random,Spending Types,Attractions
Source,Target,Value
Entertainment,Beach,1057
Entertainment,Hiking Trail,130
Entertainment,Theme Park,997
Entertainment,Cultural Festival,456
Entertainment,Museum,507
Entertainment,Historical Site,366
Shopping,Beach,503
Shopping,Hiking Trail,1051
Shopping,Theme Park,4352
Shopping,Cultural Festival,1078
Shopping,Museum,4916
Shopping,Historical Site,3077
Dining,Beach,3002
Dining,Hiking Trail,1575
Dining,Theme Park,589
Dining,Cultural Festival,304
Dining,Museum,1068
Dining,Historical Site,420
