Retail and E-commerce,Omni-channel Retail Purchase Ecosystem,Purchases,random,Regions,Channels
Source,Target,Value
Asia,Physical Store,18883
Asia,Third-Party Marketplace,7845
Europe,Physical Store,14481
Europe,Third-Party Marketplace,1686
South America,Physical Store,6644
South America,Third-Party Marketplace,20686
Oceania,Physical Store,3876
Oceania,Third-Party Marketplace,8916
Africa,Physical Store,12470
Africa,Third-Party Marketplace,10276
Middle East,Physical Store,3469
Middle East,Third-Party Marketplace,689
North America,Physical Store,21183
North America,Third-Party Marketplace,15261
