Social Media and Digital Media and Streaming,Digital Media Consumption Ecosystem,Views,random,Engagement Methods,Platform Types
Source,Target,Value
Live Chats,Social Networks,35996
Live Chats,Podcast Platforms,3676
Live Chats,Video Sharing,29882
Live Chats,Music Streaming,14982
Live Chats,News Aggregators,6751
Live Chats,Live Streaming,31526
Donations,Social Networks,2282
Donations,Podcast Platforms,5960
Donations,Video Sharing,953
Donations,Music Streaming,953
Donations,News Aggregators,6264
Donations,Live Streaming,4055
Comments,Social Networks,1855
Comments,Podcast Platforms,1664
Comments,Video Sharing,2646
Comments,Music Streaming,7322
Comments,News Aggregators,1618
Comments,Live Streaming,5362
Shares,Social Networks,40671
Shares,Podcast Platforms,23919
Shares,Video Sharing,37565
Shares,Music Streaming,50446
Shares,News Aggregators,7209
Shares,Live Streaming,13287
Subscriptions,Social Networks,4301
Subscriptions,Podcast Platforms,19378
Subscriptions,Video Sharing,19083
Subscriptions,Music Streaming,37367
Subscriptions,News Aggregators,3938
Subscriptions,Live Streaming,13807
