Transportation and Logistics,Manufacturing Supply Transportation Chain,Goods,random,Warehouse,Distribution Center,Retail
Source,Target,Value
Spare Parts Depot,East Hub,37
Spare Parts Depot,Express Sorting Center,13
Spare Parts Depot,West Hub,48
Central Warehouse,East Hub,29
Central Warehouse,Express Sorting Center,98
Central Warehouse,West Hub,204
Bulk Storage,East Hub,24
Bulk Storage,Express Sorting Center,112
Bulk Storage,West Hub,79
Regional Warehouse A,East Hub,204
Regional Warehouse A,Express Sorting Center,172
Regional Warehouse A,West Hub,59
East Hub,Neighborhood Store,144
East Hub,Outlet Mall,150
Express Sorting Center,Neighborhood Store,319
Express Sorting Center,Outlet Mall,76
West Hub,Neighborhood Store,213
West Hub,Outlet Mall,177
