Real Estate and Housing Market,Real Estate Transaction Ecosystem,Properties,random,Location Types,Financing Options,Property Types
Source,Target,Value
Urban,Lease-to-Own,31
Urban,Cash Purchase,63
Urban,Mortgage,181
Rural,Lease-to-Own,573
Rural,Cash Purchase,134
Rural,Mortgage,365
Lease-to-Own,Commercial Property,94
Lease-to-Own,Multi-family Unit,247
Lease-to-Own,Single Family Home,45
Lease-to-Own,Townhouse,109
Lease-to-Own,Condo,109
Cash Purchase,Commercial Property,92
Cash Purchase,Multi-family Unit,30
Cash Purchase,Single Family Home,16
Cash Purchase,Townhouse,18
Cash Purchase,Condo,41
Mortgage,Commercial Property,101
Mortgage,Multi-family Unit,106
Mortgage,Single Family Home,117
Mortgage,Townhouse,110
Mortgage,Condo,112
