Healthcare and Health,Healthcare Service Ecosystem,Patients,random,Healthcare Providers,Patient Demographics,Medical Specialties
Source,Target,Value
Pharmacies,Seniors,3653
Pharmacies,Adults,2725
Pharmacies,Children,1038
Pharmacies,Chronic Patients,1841
Nursing Homes,Seniors,339
Nursing Homes,Adults,470
Nursing Homes,Children,1218
Nursing Homes,Chronic Patients,286
Seniors,Dermatology,1887
Seniors,Neurology,2105
Adults,Dermatology,1566
Adults,Neurology,1629
Children,Dermatology,1519
Children,Neurology,737
Chronic Patients,Dermatology,1307
Chronic Patients,Neurology,820
