Retail and E-commerce,Omni-channel Retail Purchase Ecosystem,Purchases,random,Channels,Marketing Campaigns,Customer Segments,Regions
Source,Target,Value
Online Store,Social Media Ad,10885
Online Store,Influencer Campaign,6947
Online Store,Referral Program,4264
Third-Party Marketplace,Social Media Ad,9427
Third-Party Marketplace,Influencer Campaign,9387
Third-Party Marketplace,Referral Program,9676
Physical Store,Social Media Ad,1853
Physical Store,Influencer Campaign,14259
Physical Store,Referral Program,10472
Social Media Ad,Adults,10808
Social Media Ad,Young Adults,6114
Social Media Ad,Teens,5243
Influencer Campaign,Adults,20447
Influencer Campaign,Young Adults,5073
Influencer Campaign,Teens,5073
Referral Program,Adults,8065
Referral Program,Young Adults,8518
Referral Program,Teens,7829
Adults,Africa,4319
Adults,Oceania,5854
Adults,North America,9424
Adults,Asia,1008
Adults,South America,9844
Adults,Middle East,8871
Young Adults,Africa,2552
Young Adults,Oceania,5170
Young Adults,North America,6447
Young Adults,Asia,1550
Young Adults,South America,2129
Young Adults,Middle East,1857
Teens,Africa,5039
Teens,Oceania,917
Teens,North America,917
Teens,Asia,5714
Teens,South America,3302
Teens,Middle East,2256
