Retail and E-commerce,Omni-channel Retail Purchase Ecosystem,Purchases,random,Regions,Marketing Campaigns,Product Categories
Source,Target,Value
Africa,Holiday Promo,2437
Africa,Referral Program,3289
Africa,Influencer Campaign,1385
Africa,Flash Sale,4134
Africa,Email Newsletter,1356
Middle East,Holiday Promo,14287
Middle East,Referral Program,10607
Middle East,Influencer Campaign,10407
Middle East,Flash Sale,15443
Middle East,Email Newsletter,3442
Europe,Holiday Promo,5682
Europe,Referral Program,6842
Europe,Influencer Campaign,7256
Europe,Flash Sale,791
Europe,Email Newsletter,3149
Asia,Holiday Promo,1952
Asia,Referral Program,16136
Asia,Influencer Campaign,4997
Asia,Flash Sale,10355
Asia,Email Newsletter,9663
North America,Holiday Promo,5196
North America,Referral Program,20380
North America,Influencer Campaign,11204
North America,Flash Sale,2090
North America,Email Newsletter,12048
Holiday Promo,Books,5093
Holiday Promo,Electronics,11081
Holiday Promo,Home Appliances,13380
Referral Program,Books,17577
Referral Program,Electronics,19513
Referral Program,Home Appliances,20164
Influencer Campaign,Books,15058
Influencer Campaign,Electronics,9810
Influencer Campaign,Home Appliances,10381
Flash Sale,Books,9443
Flash Sale,Electronics,20789
Flash Sale,Home Appliances,2581
Email Newsletter,Books,17730
Email Newsletter,Electronics,4592
Email Newsletter,Home Appliances,7336
