Energy and Utilities,Carbon Emission Flow,Tons,random,Transportation Methods,Final Disposition,Mitigation Measures
Source,Target,Value
Maritime Shipping,Atmosphere,8753
Maritime Shipping,Offset Projects,48711
Maritime Shipping,Carbon Trading,27604
Air Cargo,Atmosphere,25183
Air Cargo,Offset Projects,7503
Air Cargo,Carbon Trading,25942
Pipeline,Atmosphere,98294
Pipeline,Offset Projects,84346
Pipeline,Carbon Trading,12376
Atmosphere,Renewable Energy,48896
Atmosphere,None,16902
Atmosphere,Energy Efficiency,40780
Atmosphere,Carbon Capture,12826
Atmosphere,Afforestation,12826
Offset Projects,Renewable Energy,6265
Offset Projects,None,55031
Offset Projects,Energy Efficiency,21743
Offset Projects,Carbon Capture,13001
Offset Projects,Afforestation,44520
Carbon Trading,Renewable Energy,20208
Carbon Trading,None,10111
Carbon Trading,Energy Efficiency,8934
Carbon Trading,Carbon Capture,5276
Carbon Trading,Afforestation,21393
