Sports and Entertainment,Sports Event Framework,Events,random,Engagement Channels,Audience Segments,Event Types
Source,Target,Value
Social Media,Families,3119
Social Media,Corporate Groups,1708
Social Media,Local Fans,441
Fan Meetups,Families,2274
Fan Meetups,Corporate Groups,2449
Fan Meetups,Local Fans,2192
Mobile Apps,Families,6703
Mobile Apps,Corporate Groups,5872
Mobile Apps,Local Fans,898
Fantasy Leagues,Families,7297
Fantasy Leagues,Corporate Groups,2973
Fantasy Leagues,Local Fans,4110
Families,Finals,3912
Families,Tournament,3629
Families,Exhibition,11852
Corporate Groups,Finals,5789
Corporate Groups,Tournament,4751
Corporate Groups,Exhibition,2462
Local Fans,Finals,3779
Local Fans,Tournament,3087
Local Fans,Exhibition,775
