Energy and Utilities,Carbon Emission Flow,Tons,random,Mitigation Measures,Sector Distribution,Transportation Methods,Final Disposition,Emission Sources
Source,Target,Value
Carbon Capture,Agriculture,12115
Carbon Capture,Waste Management,12709
Carbon Capture,Manufacturing,5528
Carbon Capture,Transportation,3664
Energy Efficiency,Agriculture,101018
Energy Efficiency,Waste Management,59712
Energy Efficiency,Manufacturing,63104
Energy Efficiency,Transportation,23727
Agriculture,Road Freight,69672
Agriculture,Pipeline,43461
Waste Management,Road Freight,25017
Waste Management,Pipeline,47404
Manufacturing,Road Freight,22116
Manufacturing,Pipeline,46516
Transportation,Road Freight,14284
Transportation,Pipeline,13107
Road Freight,Carbon Storage,11964
Road Freight,Atmosphere,92285
Road Freight,Carbon Trading,26840
Pipeline,Carbon Storage,49493
Pipeline,Atmosphere,51686
Pipeline,Carbon Trading,49309
Carbon Storage,Coal Combustion,25233
Carbon Storage,Cement Production,31329
Carbon Storage,Oil Refining,4895
Atmosphere,Coal Combustion,15558
Atmosphere,Cement Production,44111
Atmosphere,Oil Refining,84302
Carbon Trading,Coal Combustion,13342
Carbon Trading,Cement Production,8562
Carbon Trading,Oil Refining,54245
