Transportation and Logistics,Manufacturing Supply Transportation Chain,Goods,random,Retail,Factory
Source,Target,Value
Convenience Store,Auto Factory,820
Convenience Store,Textile Mill,424
Convenience Store,Electronics Plant,550
Convenience Store,Chemical Plant,98
Convenience Store,Food Processing Plant,430
Outlet Mall,Auto Factory,32
Outlet Mall,Textile Mill,143
Outlet Mall,Electronics Plant,308
Outlet Mall,Chemical Plant,273
Outlet Mall,Food Processing Plant,116
Online Fulfillment,Auto Factory,57
Online Fulfillment,Textile Mill,68
Online Fulfillment,Electronics Plant,41
Online Fulfillment,Chemical Plant,112
Online Fulfillment,Food Processing Plant,38
