Education and Academics,Education System Framework,Students,random,Post-Education Paths,Student Backgrounds,Enrollment Channels,Support Services,Institution Types
Source,Target,Value
Graduate Studies,Urban,1176
Graduate Studies,Rural,709
Graduate Studies,Transfer Students,709
Graduate Studies,International,5382
Graduate Studies,Low-Income,3952
Employment,Urban,157
Employment,Rural,1305
Employment,Transfer Students,446
Employment,International,1545
Employment,Low-Income,467
Entrepreneurship,Urban,510
Entrepreneurship,Rural,4929
Entrepreneurship,Transfer Students,3085
Entrepreneurship,International,2985
Entrepreneurship,Low-Income,2015
Gap Year,Urban,2332
Gap Year,Rural,917
Gap Year,Transfer Students,1746
Gap Year,International,2576
Gap Year,Low-Income,3409
Certification Programs,Urban,1561
Certification Programs,Rural,2180
Certification Programs,Transfer Students,347
Certification Programs,International,1079
Certification Programs,Low-Income,1906
Urban,Direct Admission,817
Urban,Online Applications,1167
Urban,Scholarships,1767
Urban,Entrance Exams,1985
Rural,Direct Admission,2523
Rural,Online Applications,719
Rural,Scholarships,2917
Rural,Entrance Exams,3881
Transfer Students,Direct Admission,1238
Transfer Students,Online Applications,3889
Transfer Students,Scholarships,717
Transfer Students,Entrance Exams,489
International,Direct Admission,2951
International,Online Applications,7825
International,Scholarships,2001
International,Entrance Exams,790
Low-Income,Direct Admission,2131
Low-Income,Online Applications,4375
Low-Income,Scholarships,832
Low-Income,Entrance Exams,4411
Direct Admission,Financial Aid,2990
Direct Admission,Counseling,6670
Online Applications,Financial Aid,10290
Online Applications,Counseling,7685
Scholarships,Financial Aid,4651
Scholarships,Counseling,3583
Entrance Exams,Financial Aid,4777
Entrance Exams,Counseling,6779
Financial Aid,University,1494
Financial Aid,Community College,4180
Financial Aid,Public School,2399
Financial Aid,Online Institution,1494
Financial Aid,Private School,13141
Counseling,University,10477
Counseling,Community College,1099
Counseling,Public School,5234
Counseling,Online Institution,6808
Counseling,Private School,1099
