Sports and Entertainment,Sports Event Framework,Events,random,Sports Types,Event Types,Engagement Channels,Audience Segments
Source,Target,Value
Cricket,Finals,882
Cricket,Tournament,958
Cricket,Playoffs,1162
Basketball,Finals,10177
Basketball,Tournament,8267
Basketball,Playoffs,1133
Baseball,Finals,594
Baseball,Tournament,490
Baseball,Playoffs,4890
Finals,Fantasy Leagues,509
Finals,Social Media,4646
Finals,Mobile Apps,2645
Finals,Fan Meetups,3853
Tournament,Fantasy Leagues,3825
Tournament,Social Media,1672
Tournament,Mobile Apps,1124
Tournament,Fan Meetups,3094
Playoffs,Fantasy Leagues,681
Playoffs,Social Media,3311
Playoffs,Mobile Apps,399
Playoffs,Fan Meetups,2794
Fantasy Leagues,Families,231
Fantasy Leagues,Local Fans,2263
Fantasy Leagues,VIP Guests,314
Fantasy Leagues,International Fans,783
Fantasy Leagues,Corporate Groups,1424
Social Media,Families,489
Social Media,Local Fans,3680
Social Media,VIP Guests,2169
Social Media,International Fans,2919
Social Media,Corporate Groups,372
Mobile Apps,Families,1393
Mobile Apps,Local Fans,1525
Mobile Apps,VIP Guests,715
Mobile Apps,International Fans,329
Mobile Apps,Corporate Groups,206
Fan Meetups,Families,2277
Fan Meetups,Local Fans,2753
Fan Meetups,VIP Guests,820
Fan Meetups,International Fans,3169
Fan Meetups,Corporate Groups,722
