Sports and Entertainment,Sports Event Framework,Events,random,Engagement Channels,Revenue Streams,Sports Types,Audience Segments
Source,Target,Value
Fantasy Leagues,Concessions,31058
Fantasy Leagues,Sponsorships,23244
Live Streaming,Concessions,2709
Live Streaming,Sponsorships,3074
Mobile Apps,Concessions,6940
Mobile Apps,Sponsorships,34007
Social Media,Concessions,13201
Social Media,Sponsorships,3646
Fan Meetups,Concessions,20485
Fan Meetups,Sponsorships,20559
Concessions,Baseball,17182
Concessions,Hockey,7568
Concessions,Basketball,15236
Concessions,Golf,11955
Concessions,Cricket,6671
Concessions,Tennis,2935
Concessions,Football,12846
Sponsorships,Baseball,10129
Sponsorships,Hockey,14935
Sponsorships,Basketball,5474
Sponsorships,Golf,5506
Sponsorships,Cricket,2449
Sponsorships,Tennis,23845
Sponsorships,Football,22192
Baseball,VIP Guests,11295
Baseball,Local Fans,8313
Baseball,International Fans,7703
Hockey,VIP Guests,3601
Hockey,Local Fans,14139
Hockey,International Fans,4763
Basketball,VIP Guests,8694
Basketball,Local Fans,9941
Basketball,International Fans,2075
Golf,VIP Guests,13252
Golf,Local Fans,2823
Golf,International Fans,1386
Cricket,VIP Guests,4729
Cricket,Local Fans,3910
Cricket,International Fans,481
Tennis,VIP Guests,13664
Tennis,Local Fans,7861
Tennis,International Fans,5255
Football,VIP Guests,9723
Football,Local Fans,15835
Football,International Fans,9480
