Business and Finance,Investment Decision-Making Routine,$,random,Risk Levels,Investment Types,Market Segments
Source,Target,Value
Moderate Risk,Commodities,1554
Moderate Risk,Stocks,4147
Moderate Risk,Bonds,14700
Moderate Risk,Cryptocurrency,1554
High Risk,Commodities,10196
High Risk,Stocks,5396
High Risk,Bonds,15243
High Risk,Cryptocurrency,1974
Low Risk,Commodities,12938
Low Risk,Stocks,12539
Low Risk,Bonds,7224
Low Risk,Cryptocurrency,3941
Commodities,Retail Investors,7677
Commodities,Hedge Funds,1577
Commodities,Institutional Investors,5598
Commodities,Pension Funds,9836
Stocks,Retail Investors,4579
Stocks,Hedge Funds,8847
Stocks,Institutional Investors,6876
Stocks,Pension Funds,1780
Bonds,Retail Investors,14571
Bonds,Hedge Funds,11451
Bonds,Institutional Investors,2939
Bonds,Pension Funds,8206
Cryptocurrency,Retail Investors,1704
Cryptocurrency,Hedge Funds,491
Cryptocurrency,Institutional Investors,2393
Cryptocurrency,Pension Funds,2881
