Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,23.07
Payment Systems,Fraud Detection,12.95
Fraud Detection,ML Models,12.95
ML Models,Behavior Analysis,6.51
ML Models,Anomaly Detection,6.44
Anomaly Detection,Isolation Forest,6.44
Payment Systems,Gateway APIs,10.12
Gateway APIs,Tokenization,10.12
Tokenization,PCI Compliance,10.12
PCI Compliance,Vaultless Systems,5.02
PCI Compliance,HSM Integration,5.1
Platform Architecture,Recommendation Engines,76.93
Recommendation Engines,Collaborative Filtering,6.75
Recommendation Engines,Real-Time Prediction,70.18
Real-Time Prediction,Stream Processing,70.18
Stream Processing,Kafka Pipelines,70.18
Kafka Pipelines,Exactly-Once Semantics,58.54
Kafka Pipelines,Stateful Operators,11.64
