Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,32.63
Pedagogy,Active Learning,16.07
Active Learning,Flipped Classroom,5.84
Flipped Classroom,Digital Platforms,5.84
Active Learning,Project-Based,10.23
Project-Based,Collaborative Tools,10.23
Collaborative Tools,Real-Time Editing,5.22
Collaborative Tools,Version Control,5.01
Pedagogy,Competency-Based,16.56
Competency-Based,Micro-Credentials,16.56
Micro-Credentials,Blockchain Issuance,16.56
Blockchain Issuance,Smart Contracts,9.55
Blockchain Issuance,Decentralized IDs,7.01
Learning Systems,Experiential,67.37
Experiential,Lab Simulations,15.9
Lab Simulations,VR Environments,8.25
VR Environments,Haptic Feedback,8.25
Lab Simulations,AR Labs,7.65
AR Labs,Spatial Anchors,7.65
Experiential,Fieldwork Tech,51.47
Fieldwork Tech,Mobile Sensing,51.47
Mobile Sensing,IoT Kits,51.47
IoT Kits,LoRa Modules,18.46
IoT Kits,Edge Computing,33.01
