Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,62.97
Cultural Activities,Art Exhibitions,34.9
Art Exhibitions,Gallery Shows,10.88
Gallery Shows,Group Exhibitions,5.33
Gallery Shows,Solo Exhibitions,5.55
Art Exhibitions,Online Exhibitions,24.02
Online Exhibitions,Virtual Reality,11.47
Online Exhibitions,NFT Gallery,12.55
Cultural Activities,Public Art,28.07
Public Art,Urban Sculpture,16.03
Public Art,Community Projects,12.04
,Artwork Sales,37.03
Artwork Sales,Primary Market,8.46
Artwork Sales,Secondary Market,28.57
Secondary Market,Auction Houses,18.27
Auction Houses,Modern Masters,11.5
Auction Houses,Emerging Artists,6.77
Secondary Market,Art Funds,10.3
Art Funds,Investment Grade,5.11
Art Funds,Experimental,5.19
