Agriculture and Food Production,Agriculture Production Distribution by Category (2021),%
parent,child,value
,Crop Systems,100.0
Crop Systems,Precision Planting,70.74
Precision Planting,Seeders,58.94
Seeders,Row Units,58.94
Row Units,Depth Control,58.94
Depth Control,Parallel Linkages,24.62
Depth Control,Pressure Sensors,34.32
Precision Planting,Fertigation Systems,11.8
Fertigation Systems,Dosing Mechanisms,11.8
Dosing Mechanisms,Venturi Injectors,11.8
Venturi Injectors,Flow Calibration,6.37
Venturi Injectors,Anti-Clog Nozzles,5.43
Crop Systems,Irrigation Tech,29.26
Irrigation Tech,Pivot Systems,18.05
Pivot Systems,Control Modules,7.93
Control Modules,Water Flow,7.93
Water Flow,Valve Types,7.93
Pivot Systems,Sprinkler Types,10.12
Sprinkler Types,Impact Drive,10.12
Impact Drive,Nozzle Plates,10.12
Nozzle Plates,Brass Alloy,5.01
Nozzle Plates,Ceramic Coatings,5.11
Irrigation Tech,Drip Networks,11.21
Drip Networks,Emitter Design,11.21
Emitter Design,Pressure Compensating,11.21
Pressure Compensating,Silicone Diaphragms,11.21
Silicone Diaphragms,Laser-Drilled Orifices,5.45
Silicone Diaphragms,Turbulence Chambers,5.76
