Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
,Physics Research,68.83
Physics Research,Particle Accelerators,31.38
Particle Accelerators,Magnet Systems,31.38
Magnet Systems,Superconducting,18.84
Superconducting,Coil Designs,13.06
Coil Designs,Niobium-Tin,7.18
Coil Designs,MgB2 Windings,5.88
Superconducting,Quench Protection,5.78
Quench Protection,Detection Circuits,5.78
Magnet Systems,Normal Conducting,12.54
Normal Conducting,Laminated Core,12.54
Laminated Core,Eddy Current,12.54
Eddy Current,Silicon Steel,5.74
Eddy Current,Epoxy Insulation,6.8
Physics Research,Plasma Physics,37.45
Plasma Physics,Confinement Methods,37.45
Confinement Methods,Magnetic Mirror,37.45
Magnetic Mirror,End Plugging,37.45
End Plugging,Rotating Plasmas,29.52
End Plugging,Electrostatic Barriers,7.93
,Quantum Computing,31.17
Quantum Computing,Qubit Tech,21.63
Qubit Tech,Trapped Ions,13.68
Trapped Ions,Laser Control,13.68
Laser Control,Frequency Stabilization,13.68
Frequency Stabilization,PID Controllers,8.44
Frequency Stabilization,FPGA Modules,5.24
Qubit Tech,Supercon Circuits,7.95
Supercon Circuits,Josephson Junctions,7.95
Josephson Junctions,Aluminum Oxide,7.95
Quantum Computing,Error Correction,9.54
Error Correction,Surface Codes,9.54
Surface Codes,Logical Qubits,9.54
Logical Qubits,Lattice Structures,9.54
