Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,26.52
Cultural Activities,Art Exhibitions,20.04
Art Exhibitions,Gallery Shows,9.46
Art Exhibitions,Online Exhibitions,10.58
Online Exhibitions,Virtual Reality,5.51
Online Exhibitions,NFT Gallery,5.07
Cultural Activities,Public Art,6.48
,Artwork Sales,73.48
Artwork Sales,Primary Market,21.67
Primary Market,Galleries,13.61
Galleries,Contemporary,6.05
Galleries,Traditional,7.56
Primary Market,Art Fairs,8.06
Artwork Sales,Secondary Market,51.81
Secondary Market,Auction Houses,41.59
Auction Houses,Modern Masters,34.9
Auction Houses,Emerging Artists,6.69
Secondary Market,Art Funds,10.22
Art Funds,Investment Grade,5.19
Art Funds,Experimental,5.03
