Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
,Valuation Models,100.0
Valuation Models,Hedonic Pricing,40.32
Hedonic Pricing,Spatial Features,29.84
Spatial Features,GIS Integration,5.1
GIS Integration,Heatmap Layers,5.1
Spatial Features,Geospatial Regression,24.74
Geospatial Regression,Spatial Lag,24.74
Spatial Lag,Moran's I Test,19.62
Spatial Lag,Queen Contiguity,5.12
Hedonic Pricing,Crime Statistics,10.48
Crime Statistics,Hotspot Analysis,10.48
Hotspot Analysis,Getis-Ord Gi*,10.48
Getis-Ord Gi*,Z-Score Clustering,5.12
Getis-Ord Gi*,Temporal Smoothing,5.36
Valuation Models,Amenity Scoring,59.68
Amenity Scoring,POI Analysis,51.07
POI Analysis,Network Buffers,39.73
Network Buffers,Walking Accessibility,39.73
Walking Accessibility,Pedestrian Paths,16.53
Walking Accessibility,Crosswalk Density,23.2
POI Analysis,Data Scraping,11.34
Data Scraping,APIs Integration,11.34
APIs Integration,OAuth 2.0,5.48
APIs Integration,Rate Limiting,5.86
Amenity Scoring,School Districts,8.61
School Districts,Catchment Areas,8.61
Catchment Areas,Voronoi Diagrams,8.61
