Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
,Valuation Models,100.0
Valuation Models,Hedonic Pricing,15.91
Hedonic Pricing,Spatial Features,8.17
Hedonic Pricing,Crime Statistics,7.74
Crime Statistics,Hotspot Analysis,7.74
Hotspot Analysis,Getis-Ord Gi*,7.74
Valuation Models,Amenity Scoring,84.09
Amenity Scoring,POI Analysis,33.66
POI Analysis,Network Buffers,9.07
Network Buffers,Walking Accessibility,9.07
POI Analysis,Data Scraping,24.59
Data Scraping,APIs Integration,24.59
APIs Integration,OAuth 2.0,12.81
APIs Integration,Rate Limiting,11.78
Amenity Scoring,School Districts,50.43
School Districts,Catchment Areas,50.43
Catchment Areas,Voronoi Diagrams,50.43
Voronoi Diagrams,Centroid Mapping,37.0
Voronoi Diagrams,Weighted Polygons,13.43
