Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,36.32
Cultural Activities,Art Exhibitions,18.04
Art Exhibitions,Gallery Shows,7.91
Art Exhibitions,Online Exhibitions,10.13
Online Exhibitions,Virtual Reality,5.02
Online Exhibitions,NFT Gallery,5.11
Cultural Activities,Public Art,18.28
Public Art,Urban Sculpture,5.37
Public Art,Community Projects,12.91
,Artwork Sales,63.68
Artwork Sales,Primary Market,47.8
Primary Market,Galleries,22.13
Galleries,Contemporary,10.28
Galleries,Traditional,11.85
Primary Market,Art Fairs,25.67
Art Fairs,International,11.06
Art Fairs,Regional,14.61
Artwork Sales,Secondary Market,15.88
Secondary Market,Auction Houses,6.49
Secondary Market,Art Funds,9.39
