Human Resources and Employee Management ,Employee Distribution by Category (2022),%
parent,child,value
,Talent Development,100.0
Talent Development,Competency Models,46.69
Competency Models,Skill Mapping,36.17
Skill Mapping,AI Assessment,36.17
AI Assessment,NLP Analysis,10.27
NLP Analysis,Sentiment Scoring,5.26
NLP Analysis,Competency Clusters,5.01
AI Assessment,Behavioral Analytics,25.9
Behavioral Analytics,Micro-Expression,25.9
Micro-Expression,FACS Coding,20.45
Micro-Expression,Eye-Tracking,5.45
Competency Models,360 Feedback,10.52
360 Feedback,Peer Evaluation,10.52
Peer Evaluation,Anonymization,10.52
Anonymization,Differential Privacy,5.05
Anonymization,k-Anonymity,5.47
Talent Development,Career Pathing,53.31
Career Pathing,Succession Planning,20.58
Succession Planning,Graph Databases,20.58
Graph Databases,Neo4j Queries,20.58
Neo4j Queries,Cypher Scripts,13.26
Neo4j Queries,Path Algorithms,7.32
Career Pathing,Leadership Pipeline,32.73
Leadership Pipeline,Simulation Labs,32.73
Simulation Labs,VR Scenarios,32.73
VR Scenarios,Stress Testing,14.61
VR Scenarios,Decision Trees,18.12
