Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,52.45
Payment Systems,Fraud Detection,47.06
Fraud Detection,ML Models,47.06
ML Models,Behavior Analysis,37.81
Behavior Analysis,Session Tracking,18.83
Behavior Analysis,Device Fingerprinting,18.98
ML Models,Anomaly Detection,9.25
Anomaly Detection,Isolation Forest,9.25
Payment Systems,Gateway APIs,5.39
Gateway APIs,Tokenization,5.39
Tokenization,PCI Compliance,5.39
Platform Architecture,Recommendation Engines,47.55
Recommendation Engines,Collaborative Filtering,9.69
Collaborative Filtering,Matrix Factorization,9.69
Matrix Factorization,SVD Algorithms,9.69
Recommendation Engines,Real-Time Prediction,37.86
Real-Time Prediction,Stream Processing,37.86
Stream Processing,Kafka Pipelines,37.86
Kafka Pipelines,Exactly-Once Semantics,18.41
Kafka Pipelines,Stateful Operators,19.45
