Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,37.23
Payment Systems,Fraud Detection,21.07
Fraud Detection,ML Models,21.07
ML Models,Behavior Analysis,6.3
ML Models,Anomaly Detection,14.77
Anomaly Detection,Isolation Forest,14.77
Isolation Forest,Feature Importance,7.3
Isolation Forest,Tree Pruning,7.47
Payment Systems,Gateway APIs,16.16
Gateway APIs,Tokenization,16.16
Tokenization,PCI Compliance,16.16
PCI Compliance,Vaultless Systems,10.08
PCI Compliance,HSM Integration,6.08
Platform Architecture,Recommendation Engines,62.77
Recommendation Engines,Collaborative Filtering,32.28
Collaborative Filtering,Matrix Factorization,32.28
Matrix Factorization,SVD Algorithms,32.28
SVD Algorithms,Parallel Computing,23.37
SVD Algorithms,GPU Acceleration,8.91
Recommendation Engines,Real-Time Prediction,30.49
Real-Time Prediction,Stream Processing,30.49
Stream Processing,Kafka Pipelines,30.49
Kafka Pipelines,Exactly-Once Semantics,11.5
Kafka Pipelines,Stateful Operators,18.99
