Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,24.89
Payment Systems,Fraud Detection,14.62
Fraud Detection,ML Models,14.62
ML Models,Behavior Analysis,6.25
ML Models,Anomaly Detection,8.37
Anomaly Detection,Isolation Forest,8.37
Payment Systems,Gateway APIs,10.27
Gateway APIs,Tokenization,10.27
Tokenization,PCI Compliance,10.27
PCI Compliance,Vaultless Systems,5.11
PCI Compliance,HSM Integration,5.16
Platform Architecture,Recommendation Engines,75.11
Recommendation Engines,Collaborative Filtering,33.15
Collaborative Filtering,Matrix Factorization,33.15
Matrix Factorization,SVD Algorithms,33.15
SVD Algorithms,Parallel Computing,15.1
SVD Algorithms,GPU Acceleration,18.05
Recommendation Engines,Real-Time Prediction,41.96
Real-Time Prediction,Stream Processing,41.96
Stream Processing,Kafka Pipelines,41.96
Kafka Pipelines,Exactly-Once Semantics,10.08
Kafka Pipelines,Stateful Operators,31.88
