Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
,Valuation Models,100.0
Valuation Models,Hedonic Pricing,81.28
Hedonic Pricing,Spatial Features,50.2
Spatial Features,GIS Integration,22.32
GIS Integration,Heatmap Layers,22.32
Heatmap Layers,Kernel Density,11.77
Heatmap Layers,Hexagonal Binning,10.55
Spatial Features,Geospatial Regression,27.88
Geospatial Regression,Spatial Lag,27.88
Spatial Lag,Moran's I Test,9.05
Spatial Lag,Queen Contiguity,18.83
Hedonic Pricing,Crime Statistics,31.08
Crime Statistics,Hotspot Analysis,31.08
Hotspot Analysis,Getis-Ord Gi*,31.08
Getis-Ord Gi*,Z-Score Clustering,9.83
Getis-Ord Gi*,Temporal Smoothing,21.25
Valuation Models,Amenity Scoring,18.72
Amenity Scoring,POI Analysis,10.86
POI Analysis,Network Buffers,5.37
Network Buffers,Walking Accessibility,5.37
POI Analysis,Data Scraping,5.49
Data Scraping,APIs Integration,5.49
Amenity Scoring,School Districts,7.86
School Districts,Catchment Areas,7.86
Catchment Areas,Voronoi Diagrams,7.86
