Social Media and Digital Media and Streaming,Social Media Distribution by Category (2024),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,User Interface,55.13
User Interface,Interaction Design,23.35
Interaction Design,Notification Systems,23.35
Notification Systems,Push Algorithm,17.52
Push Algorithm,ML-Based Prioritization,5.15
Push Algorithm,Context-Aware Delivery,12.37
Notification Systems,In-App Badges,5.83
In-App Badges,Dynamic Counter,5.83
User Interface,Accessibility,31.78
Accessibility,Screen Readers,31.78
Screen Readers,Voice Synthesis,31.78
Voice Synthesis,Neural TTS,31.78
Neural TTS,WaveNet,19.48
Neural TTS,Tacotron,12.3
Platform Architecture,Data Infrastructure,44.87
Data Infrastructure,Storage Systems,44.87
Storage Systems,Cloud Integration,13.1
Cloud Integration,Edge Computing,13.1
Edge Computing,Real-Time Sync,13.1
Real-Time Sync,Delta Encoding,7.55
Real-Time Sync,Conflict Resolution,5.55
Storage Systems,Database Sharding,31.77
Database Sharding,Horizontal Partition,31.77
Horizontal Partition,Consistent Hashing,31.77
Consistent Hashing,Virtual Nodes,31.77
