Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,79.52
Pedagogy,Active Learning,10.88
Active Learning,Flipped Classroom,5.3
Flipped Classroom,Digital Platforms,5.3
Active Learning,Project-Based,5.58
Project-Based,Collaborative Tools,5.58
Pedagogy,Competency-Based,68.64
Competency-Based,Micro-Credentials,68.64
Micro-Credentials,Blockchain Issuance,68.64
Blockchain Issuance,Smart Contracts,63.16
Blockchain Issuance,Decentralized IDs,5.48
Learning Systems,Experiential,20.48
Experiential,Lab Simulations,12.67
Lab Simulations,VR Environments,7.44
VR Environments,Haptic Feedback,7.44
Lab Simulations,AR Labs,5.23
AR Labs,Spatial Anchors,5.23
Experiential,Fieldwork Tech,7.81
Fieldwork Tech,Mobile Sensing,7.81
Mobile Sensing,IoT Kits,7.81
