Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,19.34
Cultural Activities,Art Exhibitions,5.92
Cultural Activities,Public Art,13.42
Public Art,Urban Sculpture,7.05
Public Art,Community Projects,6.37
,Artwork Sales,80.66
Artwork Sales,Primary Market,25.2
Primary Market,Galleries,18.83
Galleries,Contemporary,7.97
Galleries,Traditional,10.86
Primary Market,Art Fairs,6.37
Artwork Sales,Secondary Market,55.46
Secondary Market,Auction Houses,15.96
Auction Houses,Modern Masters,5.09
Auction Houses,Emerging Artists,10.87
Secondary Market,Art Funds,39.5
Art Funds,Investment Grade,31.79
Art Funds,Experimental,7.71
