Sports and Entertainment,Sports Distribution by Category (2022),%
parent,child,value
,Training Tech,100.0
Training Tech,Biomechanics,16.31
Biomechanics,Motion Capture,5.71
Biomechanics,Gait Analysis,10.6
Gait Analysis,Foot Strike,10.6
Foot Strike,Plantar Pressure,10.6
Plantar Pressure,Midsole Sensors,5.37
Plantar Pressure,Shear Force Detection,5.23
Training Tech,Force Analysis,83.69
Force Analysis,EMG Systems,26.01
EMG Systems,Wireless Sensors,26.01
Wireless Sensors,Signal Processing,26.01
Signal Processing,Noise Filtering,18.74
Signal Processing,Peak Detection,7.27
Force Analysis,Force Plates,57.68
Force Plates,Piezoelectric,57.68
Piezoelectric,Calibration,57.68
Calibration,Temperature Drift,23.4
Calibration,Nonlinearity Correction,34.28
