Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,90.41
Pedagogy,Active Learning,30.4
Active Learning,Flipped Classroom,22.05
Flipped Classroom,Digital Platforms,22.05
Digital Platforms,LMS Integration,14.83
Digital Platforms,Video Analytics,7.22
Active Learning,Project-Based,8.35
Project-Based,Collaborative Tools,8.35
Pedagogy,Competency-Based,60.01
Competency-Based,Micro-Credentials,60.01
Micro-Credentials,Blockchain Issuance,60.01
Blockchain Issuance,Smart Contracts,8.22
Blockchain Issuance,Decentralized IDs,51.79
Learning Systems,Experiential,9.59
