Business and Finance,Business Distribution by Category (2022),%
parent,child,value
,Supply Chain,100.0
Supply Chain,Logistics,60.32
Logistics,Route Optimization,25.41
Route Optimization,Vehicle Routing,11.01
Vehicle Routing,Metaheuristics,11.01
Metaheuristics,Ant Colony,5.88
Metaheuristics,Genetic Algorithm,5.13
Route Optimization,Transport Modes,14.4
Transport Modes,Intermodal,14.4
Intermodal,Containerization,5.17
Intermodal,TMS Integration,9.23
Logistics,Warehouse Design,34.91
Warehouse Design,Slotting Algorithms,34.91
Slotting Algorithms,ABC Analysis,34.91
ABC Analysis,Pareto Thresholds,26.8
ABC Analysis,Velocity Profiling,8.11
Supply Chain,Inventory Control,39.68
Inventory Control,RFID Tracking,33.09
RFID Tracking,Real-Time Locating,33.09
Real-Time Locating,Triangulation,33.09
Triangulation,TDOA,12.53
Triangulation,RSSI Mapping,20.56
Inventory Control,Demand Sensing,6.59
Demand Sensing,Social Listening,6.59
Social Listening,Sentiment Analysis,6.59
