Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,28.0
Payment Systems,Fraud Detection,12.68
Fraud Detection,ML Models,12.68
ML Models,Behavior Analysis,6.6
ML Models,Anomaly Detection,6.08
Anomaly Detection,Isolation Forest,6.08
Payment Systems,Gateway APIs,15.32
Gateway APIs,Tokenization,15.32
Tokenization,PCI Compliance,15.32
PCI Compliance,Vaultless Systems,5.47
PCI Compliance,HSM Integration,9.85
Platform Architecture,Recommendation Engines,72.0
Recommendation Engines,Collaborative Filtering,39.81
Collaborative Filtering,Matrix Factorization,39.81
Matrix Factorization,SVD Algorithms,39.81
SVD Algorithms,Parallel Computing,18.77
SVD Algorithms,GPU Acceleration,21.04
Recommendation Engines,Real-Time Prediction,32.19
Real-Time Prediction,Stream Processing,32.19
Stream Processing,Kafka Pipelines,32.19
Kafka Pipelines,Exactly-Once Semantics,7.31
Kafka Pipelines,Stateful Operators,24.88
