Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
,Physics Research,39.7
Physics Research,Particle Accelerators,9.78
Particle Accelerators,Magnet Systems,9.78
Physics Research,Plasma Physics,29.92
Plasma Physics,Confinement Methods,29.92
Confinement Methods,Magnetic Mirror,29.92
Magnetic Mirror,End Plugging,29.92
End Plugging,Rotating Plasmas,18.92
End Plugging,Electrostatic Barriers,11.0
,Quantum Computing,60.3
Quantum Computing,Qubit Tech,48.45
Qubit Tech,Trapped Ions,37.57
Trapped Ions,Laser Control,37.57
Laser Control,Frequency Stabilization,37.57
Frequency Stabilization,PID Controllers,17.07
Frequency Stabilization,FPGA Modules,20.5
Qubit Tech,Supercon Circuits,10.88
Supercon Circuits,Josephson Junctions,10.88
Josephson Junctions,Aluminum Oxide,10.88
Aluminum Oxide,E-Beam Litho,5.73
Aluminum Oxide,Oxidation Rate,5.15
Quantum Computing,Error Correction,11.85
Error Correction,Surface Codes,11.85
Surface Codes,Logical Qubits,11.85
Logical Qubits,Lattice Structures,11.85
Lattice Structures,Hexagonal Lattices,5.71
Lattice Structures,Triangular Meshes,6.14
