Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,12.72
Payment Systems,Fraud Detection,6.0
Fraud Detection,ML Models,6.0
Payment Systems,Gateway APIs,6.72
Gateway APIs,Tokenization,6.72
Tokenization,PCI Compliance,6.72
Platform Architecture,Recommendation Engines,87.28
Recommendation Engines,Collaborative Filtering,28.38
Collaborative Filtering,Matrix Factorization,28.38
Matrix Factorization,SVD Algorithms,28.38
SVD Algorithms,Parallel Computing,18.59
SVD Algorithms,GPU Acceleration,9.79
Recommendation Engines,Real-Time Prediction,58.9
Real-Time Prediction,Stream Processing,58.9
Stream Processing,Kafka Pipelines,58.9
Kafka Pipelines,Exactly-Once Semantics,22.36
Kafka Pipelines,Stateful Operators,36.54
