Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,13.58
Cultural Activities,Art Exhibitions,6.32
Cultural Activities,Public Art,7.26
,Artwork Sales,86.42
Artwork Sales,Primary Market,73.42
Primary Market,Galleries,54.35
Galleries,Contemporary,38.45
Galleries,Traditional,15.9
Primary Market,Art Fairs,19.07
Art Fairs,International,8.66
Art Fairs,Regional,10.41
Artwork Sales,Secondary Market,13.0
Secondary Market,Auction Houses,6.05
Secondary Market,Art Funds,6.95
