Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
,Valuation Models,100.0
Valuation Models,Hedonic Pricing,60.32
Hedonic Pricing,Spatial Features,33.23
Spatial Features,GIS Integration,25.65
GIS Integration,Heatmap Layers,25.65
Heatmap Layers,Kernel Density,13.65
Heatmap Layers,Hexagonal Binning,12.0
Spatial Features,Geospatial Regression,7.58
Geospatial Regression,Spatial Lag,7.58
Hedonic Pricing,Crime Statistics,27.09
Crime Statistics,Hotspot Analysis,27.09
Hotspot Analysis,Getis-Ord Gi*,27.09
Getis-Ord Gi*,Z-Score Clustering,8.16
Getis-Ord Gi*,Temporal Smoothing,18.93
Valuation Models,Amenity Scoring,39.68
Amenity Scoring,POI Analysis,23.54
POI Analysis,Network Buffers,6.52
Network Buffers,Walking Accessibility,6.52
POI Analysis,Data Scraping,17.02
Data Scraping,APIs Integration,17.02
APIs Integration,OAuth 2.0,10.37
APIs Integration,Rate Limiting,6.65
Amenity Scoring,School Districts,16.14
School Districts,Catchment Areas,16.14
Catchment Areas,Voronoi Diagrams,16.14
Voronoi Diagrams,Centroid Mapping,8.41
Voronoi Diagrams,Weighted Polygons,7.73
