Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,41.96
Pedagogy,Active Learning,13.18
Active Learning,Flipped Classroom,5.84
Flipped Classroom,Digital Platforms,5.84
Active Learning,Project-Based,7.34
Project-Based,Collaborative Tools,7.34
Pedagogy,Competency-Based,28.78
Competency-Based,Micro-Credentials,28.78
Micro-Credentials,Blockchain Issuance,28.78
Blockchain Issuance,Smart Contracts,8.16
Blockchain Issuance,Decentralized IDs,20.62
Learning Systems,Experiential,58.04
Experiential,Lab Simulations,48.83
Lab Simulations,VR Environments,7.95
VR Environments,Haptic Feedback,7.95
Lab Simulations,AR Labs,40.88
AR Labs,Spatial Anchors,40.88
Spatial Anchors,Markerless Tracking,12.84
Spatial Anchors,Cloud Anchoring,28.04
Experiential,Fieldwork Tech,9.21
Fieldwork Tech,Mobile Sensing,9.21
Mobile Sensing,IoT Kits,9.21
