Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,78.9
Pedagogy,Active Learning,42.17
Active Learning,Flipped Classroom,33.72
Flipped Classroom,Digital Platforms,33.72
Digital Platforms,LMS Integration,28.3
Digital Platforms,Video Analytics,5.42
Active Learning,Project-Based,8.45
Project-Based,Collaborative Tools,8.45
Pedagogy,Competency-Based,36.73
Competency-Based,Micro-Credentials,36.73
Micro-Credentials,Blockchain Issuance,36.73
Blockchain Issuance,Smart Contracts,27.61
Blockchain Issuance,Decentralized IDs,9.12
Learning Systems,Experiential,21.1
Experiential,Lab Simulations,10.65
Lab Simulations,VR Environments,5.44
VR Environments,Haptic Feedback,5.44
Lab Simulations,AR Labs,5.21
AR Labs,Spatial Anchors,5.21
Experiential,Fieldwork Tech,10.45
Fieldwork Tech,Mobile Sensing,10.45
Mobile Sensing,IoT Kits,10.45
IoT Kits,LoRa Modules,5.17
IoT Kits,Edge Computing,5.28
