Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,67.71
Cultural Activities,Art Exhibitions,42.77
Art Exhibitions,Gallery Shows,21.48
Gallery Shows,Group Exhibitions,13.57
Group Exhibitions,Art Collectives,7.37
Group Exhibitions,Collaborative Projects,6.2
Gallery Shows,Solo Exhibitions,7.91
Art Exhibitions,Online Exhibitions,21.29
Online Exhibitions,Virtual Reality,13.39
Online Exhibitions,NFT Gallery,7.9
Cultural Activities,Public Art,24.94
Public Art,Urban Sculpture,8.32
Public Art,Community Projects,16.62
,Artwork Sales,32.29
Artwork Sales,Primary Market,24.83
Primary Market,Galleries,12.71
Galleries,Contemporary,5.54
Galleries,Traditional,7.17
Primary Market,Art Fairs,12.12
Art Fairs,International,5.91
Art Fairs,Regional,6.21
Artwork Sales,Secondary Market,7.46
