Human Resources and Employee Management ,Employee Distribution by Category (2022),%
parent,child,value
,Talent Development,100.0
Talent Development,Competency Models,10.56
Competency Models,Skill Mapping,5.29
Skill Mapping,AI Assessment,5.29
Competency Models,360 Feedback,5.27
360 Feedback,Peer Evaluation,5.27
Peer Evaluation,Anonymization,5.27
Talent Development,Career Pathing,89.44
Career Pathing,Succession Planning,14.87
Succession Planning,Graph Databases,14.87
Graph Databases,Neo4j Queries,14.87
Neo4j Queries,Cypher Scripts,9.74
Neo4j Queries,Path Algorithms,5.13
Career Pathing,Leadership Pipeline,74.57
Leadership Pipeline,Simulation Labs,74.57
Simulation Labs,VR Scenarios,74.57
VR Scenarios,Stress Testing,32.73
VR Scenarios,Decision Trees,41.84
