Healthcare and Health,Healthcare Distribution by Category (2022),%
parent,child,value
,Medical Tech,100.0
Medical Tech,Imaging Systems,39.73
Imaging Systems,CT Scanners,16.57
CT Scanners,Reconstruction,16.57
Reconstruction,Iterative Algorithms,6.67
Reconstruction,Deep Learning,9.9
Deep Learning,CNN Architectures,9.9
Imaging Systems,MRI Machines,23.16
MRI Machines,Pulse Sequences,23.16
Pulse Sequences,Gradient Echo,7.33
Pulse Sequences,Spin Echo,15.83
Spin Echo,Contrast Weighting,15.83
Contrast Weighting,T1 Mapping,9.06
Contrast Weighting,T2 Relaxometry,6.77
Medical Tech,Robotic Surgery,60.27
Robotic Surgery,Haptic Control,60.27
Haptic Control,Force Feedback,60.27
Force Feedback,Bilateral Teleoperation,60.27
Bilateral Teleoperation,Passivity Control,50.57
Bilateral Teleoperation,Wave Variables,9.7
