Human Resources and Employee Management ,Employee Distribution by Category (2022),%
parent,child,value
,Talent Development,100.0
Talent Development,Competency Models,57.49
Competency Models,Skill Mapping,9.6
Skill Mapping,AI Assessment,9.6
Competency Models,360 Feedback,47.89
360 Feedback,Peer Evaluation,47.89
Peer Evaluation,Anonymization,47.89
Anonymization,Differential Privacy,24.52
Anonymization,k-Anonymity,23.37
Talent Development,Career Pathing,42.51
Career Pathing,Succession Planning,20.16
Succession Planning,Graph Databases,20.16
Graph Databases,Neo4j Queries,20.16
Neo4j Queries,Cypher Scripts,12.32
Neo4j Queries,Path Algorithms,7.84
Career Pathing,Leadership Pipeline,22.35
Leadership Pipeline,Simulation Labs,22.35
Simulation Labs,VR Scenarios,22.35
VR Scenarios,Stress Testing,13.35
VR Scenarios,Decision Trees,9.0
