Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,73.4
Pedagogy,Active Learning,31.15
Active Learning,Flipped Classroom,20.66
Flipped Classroom,Digital Platforms,20.66
Digital Platforms,LMS Integration,6.34
Digital Platforms,Video Analytics,14.32
Active Learning,Project-Based,10.49
Project-Based,Collaborative Tools,10.49
Collaborative Tools,Real-Time Editing,5.35
Collaborative Tools,Version Control,5.14
Pedagogy,Competency-Based,42.25
Competency-Based,Micro-Credentials,42.25
Micro-Credentials,Blockchain Issuance,42.25
Blockchain Issuance,Smart Contracts,31.77
Blockchain Issuance,Decentralized IDs,10.48
Learning Systems,Experiential,26.6
Experiential,Lab Simulations,12.72
Lab Simulations,VR Environments,7.28
VR Environments,Haptic Feedback,7.28
Lab Simulations,AR Labs,5.44
AR Labs,Spatial Anchors,5.44
Experiential,Fieldwork Tech,13.88
Fieldwork Tech,Mobile Sensing,13.88
Mobile Sensing,IoT Kits,13.88
IoT Kits,LoRa Modules,8.16
IoT Kits,Edge Computing,5.72
